Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,62575,74728088,8644,207572,250575807,15829
5,52563,331345,575,178403,5662693,2379
10,52570,245813,495,178433,4456409,2111
15,52650,322097,567,178668,5106897,2259
20,52590,289830,538,178505,5132250,2265
25,55543,86060859,9276,188461,1006821061,31730
30,53179,4529746,2128,180466,52215104,7226
35,915209,2891265387799,1700372,3104446,33268390587817,5767875
40,55409,84661217,9201,188040,996180303,31562
45,54201,28950200,5380,183903,343987530,18546
50,55481,84273742,9180,188253,988444257,31439
55,55793,87016300,9328,189328,1022501687,31976
60,54033,25368424,5036,183362,303382711,17417
65,55349,86911162,9322,187823,1019297420,31926
70,52518,279125,528,178186,4014961,2003
75,54994,69656869,8346,186568,809122572,28445
80,267652,406191803130,637331,907973,4673952501527,2161932
85,286425,480385362138,693098,971601,5527763189641,2351119
90,324337,456341484121,675530,1100167,5250706789124,2291442
95,182958,151973433734,389837,620843,1748670155506,1322372
100,11997068,28139969,5304,40696763,310266293,17614
