Priority,Avg. NS,Avg. Ticks
0,54925,197752
1,50050,180174
2,51577,185678
3,50433,181579
4,49324,177571
5,51122,184037
6,49638,178685
7,53020,190866
8,55104,198316
9,53052,190994
10,52866,190317
11,52831,190190
12,53004,190809
13,52999,190796
14,53018,190862
15,52905,190460
16,53770,193572
17,53236,191707
18,53249,191752
19,54346,195710
