Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,132162,23947753377,154750,448642,275195496996,524590
5,53500,69448,263,181841,1202377,1096
10,53486,1043097,1021,181823,14355344,3788
15,53430,895750,946,181734,11978786,3461
20,53497,96855,311,181757,1556325,1247
25,53430,95413,308,181577,1486740,1219
30,52542,1058233,1028,178474,13845536,3720
35,53722,6687169,2585,183120,75611639,8695
40,52373,251053,501,177721,4113170,2028
45,51426,8603932,2933,174479,100913761,10045
50,52597,234490,484,178472,3709480,1926
55,52724,711410,843,178886,8452318,2907
60,54021,17606679,4196,183314,199086470,14109
65,54025,16934818,4115,183246,193273127,13902
70,52127,121292,348,176996,3169454,1780
75,49125,111393623,10554,166694,1286620048,35869
80,47942,197604137,14057,162658,2280617109,47755
85,52313,46114,214,177546,1228513,1108
90,48031,166024689,12885,162961,1915579381,43767
95,48439,171240748,13085,164391,1976569412,44458
100,52335,25220,158,177547,612192,782
