Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,52615,319599,565,178556,5252064,2291
5,55214,19407151,4405,187379,237723170,15418
10,55579,88638051,9414,188547,1029126311,32079
15,51163,293582945,17134,173645,3326109021,57672
20,52554,329818,574,178359,5462762,2337
25,52435,192176,438,177916,3014263,1736
30,55436,96896769,9843,188132,1140703961,33774
35,55711,88733552,9419,189028,1039490656,32241
40,52551,264089,513,178347,4332637,2081
45,55299,90420946,9508,187659,1062972700,32603
50,55495,90380777,9506,188299,1059607962,32551
55,55511,89837117,9478,188354,1050791207,32415
60,55658,87609142,9359,188874,1031041415,32109
65,55337,86600321,9305,187764,1013092228,31829
70,52470,171826,414,178053,2965220,1721
75,55050,80286665,8960,186794,938817041,30640
80,282682,464266579437,681371,959005,5342128352480,2311304
85,279781,453836174085,673673,949116,5222176975020,2285208
90,468758,695803154220,834148,1590204,8005682341342,2829431
95,701614,984113320011,992024,2380059,11323722790936,3365073
100,12094143,88239024187,297050,41025883,1015870532982,1007904
