Priority,Avg. NS,Avg. Ticks
0,49414,177950
1,50180,180650
2,49044,176531
3,49658,178735
4,55337,199177
5,55602,200096
6,54513,196215
7,54341,195584
8,53765,193536
9,53537,192670
10,53163,191393
11,74232,267121
12,54134,194869
13,53135,191287
14,54150,194901
15,53170,191420
16,53462,192434
17,52833,190204
18,52852,190270
19,52882,190391
