Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,55756,92678103,9626,189213,1090358511,33020
5,55581,88582828,9411,188621,1043290977,32300
10,52586,317234,563,178416,4707343,2169
15,52584,265686,515,178507,5040246,2245
20,52674,45874,214,178703,886487,941
25,52631,294564,542,178591,4501718,2121
30,55610,86205636,9284,188703,1009415005,31771
35,55598,85729371,9259,188658,1005147554,31704
40,52596,303237,550,178450,4423934,2103
45,55716,87725978,9366,189114,1002589591,31663
50,55726,98983895,9949,189067,1154877320,33983
55,48871,124951763,11178,165766,1440877175,37958
60,55945,87535399,9356,189927,1022952443,31983
65,49751,39235330,6263,168914,453633236,21298
70,55879,85521524,9247,189655,995696337,31554
75,52747,189258,435,179109,2508521,1583
80,54554,112677795,10614,185172,1307792685,36163
85,52767,195934,442,179149,2580403,1606
90,52525,54534,233,178371,1115140,1056
95,52809,450187,670,179335,5645454,2376
100,52945,67054,258,179808,994928,997
