Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,56066,21373854,4623,190983,273877300,16549
5,56440,82472975,9081,191772,963761335,31044
10,56453,86872858,9320,191942,1019796500,31934
15,52935,610565,781,179872,9265975,3044
20,52846,372224,610,179521,6220065,2494
25,55846,92669418,9626,189623,1076767477,32814
30,52526,272352,521,178422,4239981,2059
35,52766,339700,582,179179,5274992,2296
40,56376,81413538,9022,191496,953931519,30885
45,49836,59106038,7688,169137,683771133,26149
50,52383,10298101,3209,177732,117329619,10831
55,52602,24173,155,178415,592800,769
60,48273,187360953,13687,163868,2167228761,46553
65,52689,87404,295,178771,1482735,1217
70,51681,20212208,4495,175291,235185154,15335
75,52173,190248293,13793,177047,2186734102,46762
80,49250,130040603,11403,167016,1495999201,38678
85,52541,197503,444,178237,2767695,1663
90,50651,80996737,8999,171882,935586672,30587
95,50401,36530052,6044,170952,422107840,20545
100,52359,42213,205,177598,646460,804
