Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,55658,90802258,9529,188969,1069160130,32698
5,55563,85670779,9255,188627,1004784029,31698
10,54374,25695107,5069,184675,302911675,17404
15,53515,890474,943,181927,11407447,3377
20,55902,85430370,9242,189917,994453576,31534
25,55783,85306137,9236,189401,987678059,31427
30,55583,82760410,9097,188697,966641054,31090
35,52794,363363,602,179388,6055168,2460
40,50676,24557655,4955,172235,288199917,16976
45,55750,87403253,9348,189309,1020034232,31937
50,52760,121823,349,179231,1919775,1385
55,54275,25194429,5019,184424,304810087,17458
60,51189,302421409,17390,173822,3502307755,59180
65,52461,684897,827,178173,8069808,2840
70,52779,234982,484,179324,3644625,1909
75,55290,67448768,8212,187733,791694559,28137
80,298798,533568911417,730458,1013610,6139536223320,2477808
85,287992,499925881848,707054,977019,5752233766367,2398381
90,495689,786853240827,887047,1681551,9053947657079,3008977
95,706680,999027835986,999513,2397229,11495608549551,3390517
100,11990657,44381282,6661,40672986,563340446,23734
