Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,56650,84200630,9176,192513,987570981,31425
5,68154,34483598,5872,232377,394525766,19862
10,53396,100095,316,181407,2422904,1556
15,53436,73955,271,181711,1794353,1339
20,48827,196607981,14021,165866,2272806844,47673
25,55732,88788021,9422,189280,1044474796,32318
30,52806,264147,513,179342,4059675,2014
35,52190,1091111,1044,177244,10880318,3298
40,56259,84175650,9174,191137,990035326,31464
45,53403,82980,288,181442,1768363,1329
50,55461,90570746,9516,188174,1059034032,32542
55,55329,88437784,9404,187732,1036043005,32187
60,55379,83900818,9159,187917,983853239,31366
65,54958,66877705,8177,186460,780049235,27929
70,54857,71995758,8485,186145,845017993,29069
75,53452,15369884,3920,181360,182418662,13506
80,292331,504936230153,710588,991642,5810165558313,2410428
85,283838,470216456319,685723,962897,5410632805413,2326076
90,490242,767569158559,876110,1663060,8832057078327,2971877
95,701633,983575988989,991753,2380145,11317523568768,3364152
100,7190194,4819062011409,2195236,24390703,55454801481895,7446798
