Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,55490,1333982,1154,188309,19800638,4449
5,55180,1179740,1086,187328,19091425,4369
10,52596,267948,517,178524,4901880,2214
15,52577,289317,537,178424,4710354,2170
20,52598,369600,607,178482,5786308,2405
25,52542,260826,510,178311,4501989,2121
30,55895,100614137,10030,189649,1175355295,34283
35,55612,89392997,9454,188743,1056008948,32496
40,55602,87652772,9362,188673,1028098569,32063
45,53342,8719125,2952,181015,100734914,10036
50,52540,355794,596,178317,5628769,2372
55,55537,85952450,9271,188448,1007875086,31747
60,52234,253319,503,177292,4562318,2135
65,52312,175496,418,177556,3227201,1796
70,55587,90791637,9528,188604,1062450480,32595
75,55123,76745515,8760,187053,901128306,30018
80,295212,517932758617,719675,1001466,5959728416493,2441255
85,276227,439249237404,662758,937047,5054263170185,2248168
90,488207,769189647469,877034,1656159,8850744312381,2975020
95,829424,905212219843,951426,2813665,10415636395721,3227326
100,12096186,85866199559,293029,41033003,988678020291,994322
