Load,Avg. NS,Avg. Ticks
0,66595,159492
5,65237,156260
10,67278,161104
15,67159,160810
20,67122,160742
25,65198,156146
30,403663,966441
35,67253,161045
40,464808,1112854
45,67163,160832
50,67253,161035
55,67350,161265
60,65805,157592
65,64912,155480
70,64473,154395
75,66257,158647
80,64480,154407
85,446124,1068082
90,484876,1160870
95,813819,1948407
100,11994040,28715936
