Load,Avg. NS,Avg. Ticks
0,67214,160964
5,67254,161211
10,66192,158492
15,67153,160809
20,67196,160928
25,67377,161323
30,67341,161271
35,66963,160358
40,560010,1340790
45,67251,161044
50,64903,155456
55,66458,159161
60,66016,158093
65,65153,156065
70,227334,544263
75,71159,170379
80,66294,158721
85,63214,151335
90,456904,1093938
95,794747,1902716
100,11992790,28712943
