Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,61165,4840984,2200,207953,66818658,8174
5,61944,3230585,1797,211266,43799019,6618
10,53095,412550,642,180486,5627864,2372
15,52819,151526,389,179400,2481743,1575
20,52532,222641,471,178506,4169972,2042
25,54098,116289085,10783,183713,1355622791,36818
30,55787,83712890,9149,189449,971660565,31171
35,50753,328405356,18121,172431,3817113394,61782
40,55774,88868359,9427,189377,1040955129,32263
45,55687,84657032,9200,189045,982103181,31338
50,52891,244337,494,179639,3831652,1957
55,56025,93019405,9644,190303,1084682073,32934
60,51715,251855073,15869,175561,2919266437,54030
65,47772,190774597,13812,162185,2206319513,46971
70,54980,66388344,8147,186550,778275065,27897
75,55917,72026466,8486,189718,840617864,28993
80,291323,501331282201,708047,988318,5768531342958,2401776
85,274425,432153306826,657383,930948,4972662414953,2229946
90,497904,794256844900,891210,1689050,9140713760448,3023361
95,704571,995131683062,997562,2390099,11450506406059,3383859
100,11992337,108098625,10397,40680489,1231177458,35088
