Load,Avg. NS,Avg. Ticks
0,67532,161863
5,67379,161586
10,67392,161549
15,68650,164365
20,67169,161062
25,67349,161477
30,67521,161820
35,67415,161572
40,67179,160909
45,64270,154022
50,63701,152754
55,66856,160102
60,65603,157256
65,67138,160880
70,63893,153080
75,64375,154068
80,63950,153169
85,63899,152965
90,63376,151706
95,63229,151360
100,62336,149226
