Load,Avg. NS,Avg. Ticks
0,67269,161065
5,70512,169158
10,67377,161492
15,67442,161654
20,67171,160832
25,66121,158181
30,66504,159110
35,68057,162904
40,66432,158956
45,67195,161014
50,67232,161075
55,61781,147944
60,65917,157785
65,64165,153570
70,63853,152817
75,64848,155281
80,64088,153379
85,63620,152300
90,63501,151972
95,63401,151762
100,62377,149298
