Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,60574,4901186,2213,205555,68290070,8263
5,54342,809605,899,184387,11649167,3413
10,52606,376783,613,178575,6279945,2505
15,52689,61263,247,178840,1719495,1311
20,52535,271906,521,178281,4510062,2123
25,52467,185452,430,178166,4585893,2141
30,53244,8106246,2847,180674,90204902,9497
35,50471,50187741,7084,171168,579517616,24073
40,55862,89498012,9460,189522,1049758945,32399
45,52461,275403,524,178064,4704978,2169
50,52604,120606,347,178484,2362905,1537
55,52584,135010,367,178392,2371338,1539
60,51132,19331964,4396,173468,224478699,14982
65,53278,848389,921,181016,9430591,3070
70,50783,32211960,5675,172449,370576091,19250
75,52893,273108,522,179607,3288078,1813
80,49835,86660170,9309,169260,1001360873,31644
85,51050,101422826,10070,173326,1148007905,33882
90,49390,97153891,9856,167714,1121428706,33487
95,46968,175497917,13247,159515,2023589587,44984
100,52343,19142,138,177693,576842,759
