Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,54860,775666,880,186456,8521716,2919
5,57050,4040237,2010,194239,55561499,7453
10,55081,24719057,4971,187179,292958997,17116
15,52804,195419,442,179330,2960061,1720
20,52338,74436,272,177797,1342213,1158
25,55973,91050031,9542,190092,1067362590,32670
30,52745,239247,489,179132,3619396,1902
35,55701,86333474,9291,189096,1003755187,31682
40,55772,84742357,9205,189415,997805135,31588
45,55737,85158205,9228,189188,985501091,31392
50,53857,162614056,12752,183675,1883459777,43398
55,52629,267731,517,178877,4362816,2088
60,55741,84033404,9166,189237,974676973,31219
65,52510,229441,479,178195,3592620,1895
70,54940,71988483,8484,186422,843095243,29036
75,54928,70638892,8404,186349,822768430,28683
80,280020,461383840707,679252,949977,5308832082089,2304090
85,274341,432186672369,657409,930649,4973035138891,2230030
90,523492,887652724521,942153,1775870,10213673213736,3195883
95,718714,1035573702643,1017631,2438057,11914621229716,3451756
100,10991689,118231465,10873,37286176,1342262254,36636
