Load,Avg. NS,Avg. Ticks
0,67571,161830
5,67207,160917
10,67370,161307
15,67363,161314
20,67344,161259
25,67447,161526
30,67296,161146
35,66781,159909
40,66205,158532
45,67873,160996
50,96681,231546
55,67154,160812
60,67287,161124
65,64997,155635
70,65657,157185
75,65799,157531
80,477763,1143872
85,63901,153014
90,601463,1440018
95,786861,1883880
100,7193868,17223441
