Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,56118,83657411,9146,190600,968698764,31123
5,56101,9718276,3117,190704,111669447,10567
10,52952,227024,476,180040,3804417,1950
15,53157,428040,654,180638,5624941,2371
20,52743,243905,493,179107,3843915,1960
25,52849,509481,713,179575,8206305,2864
30,56503,83494868,9137,191957,978527896,31281
35,55658,87558834,9357,188964,1020854380,31950
40,55723,85992841,9273,189278,1009518117,31772
45,52833,233945,483,179397,3571224,1889
50,150451,87194660414,295287,510641,1003189773499,1001593
55,55468,89031733,9435,188256,1049675080,32398
60,55377,85376362,9239,187948,1008850842,31762
65,281423,460025278881,678251,954767,5293194632378,2300694
70,55359,86893817,9321,187939,1035379192,32177
75,54891,66525696,8156,186270,782832027,27979
80,272005,433961295151,658757,922751,4993232648772,2234554
85,278804,461340200792,679220,945836,5308385132423,2303993
90,431370,574996390942,758285,1463352,6616263150201,2572209
95,685128,938490974941,968757,2324232,10798368560053,3286087
100,8991975,117413446,10835,30502797,1328948774,36454
