Load,Avg. NS,Avg. Ticks
0,67463,161562
5,67580,161794
10,67274,161071
15,66252,158653
20,67123,160732
25,116042,277829
30,67157,160836
35,67432,161487
40,67415,161434
45,67322,161194
50,681051,1630561
55,67243,161022
60,207353,496444
65,66022,158090
70,64982,155612
75,64638,154772
80,64540,154509
85,64258,153881
90,444040,1063127
95,969541,2321221
100,11993974,28715780
