Load,Avg. NS,Avg. Ticks
0,64654,154863
5,65441,156761
10,66989,160404
15,721104,1726481
20,67122,160749
25,581005,1391024
30,67216,160945
35,67195,160922
40,67104,160695
45,67212,160930
50,67239,161004
55,67228,160966
60,66349,158866
65,66849,160064
70,81739,195716
75,232193,555919
80,272137,651543
85,64298,153945
90,450979,1079725
95,810608,1940720
100,5993627,14349812
