Load,Avg. NS,Avg. Ticks
0,65721,157373
5,67510,161658
10,68252,163418
15,67161,160837
20,67147,160798
25,67315,161213
30,67175,160855
35,67202,160926
40,67203,160942
45,67361,161287
50,66343,158877
55,81847,195960
60,68471,163957
65,64524,154524
70,65240,156231
75,64715,154971
80,196686,470912
85,63958,153149
90,452581,1083516
95,814784,1950738
100,11993154,28713847
