Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,52618,85104,291,178548,1640221,1280
5,60794,5457680,2336,206442,83762996,9152
10,51393,18922126,4349,174513,223015219,14933
15,56532,88791899,9422,191824,1040514496,32257
20,55609,90501727,9513,188670,1057125813,32513
25,52579,357895,598,178479,6343248,2518
30,282468,461169943854,679094,958238,5306472579639,2303578
35,52465,144079,379,178031,2515968,1586
40,52550,313836,560,178401,6007599,2451
45,303810,552388661520,743228,1030639,6356131212764,2521136
50,278803,472860579705,687648,945775,5441100368163,2332616
55,55374,94216476,9706,187937,1111895144,33345
60,55345,91944410,9588,187794,1077486830,32825
65,55551,94111386,9701,188481,1098530871,33144
70,278443,458618475323,677213,944574,5277168802177,2297208
75,55442,70090566,8372,188260,821835349,28667
80,294793,518400150061,720000,1000161,5966492473622,2442640
85,285931,477996145446,691372,970214,5499823331631,2345170
90,52917,45274,212,179688,320877,566
95,52789,137217,370,179297,1711675,1308
100,7995980,62707049,7918,27124281,705147583,26554
