Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,53770,491142,700,182630,8410369,2900
5,60115,5811454,2410,204357,79628000,8923
10,55977,83186956,9120,190205,981294230,31325
15,53471,812940,901,181789,10848525,3293
20,52817,215964,464,179459,3408535,1846
25,56053,86604891,9306,190397,1015345436,31864
30,52643,269625,519,178748,3985356,1996
35,52853,200456,447,179496,2912884,1706
40,55819,88592568,9412,189596,1039841085,32246
45,52802,241376,491,179382,3882466,1970
50,55829,84937429,9216,189535,988243278,31436
55,52747,187487,432,179243,3389464,1841
60,300168,553410964567,743915,1018265,6368000357786,2523489
65,55043,69274067,8323,186723,804972078,28372
70,55028,66077207,8128,186721,775614515,27849
75,54957,70118877,8373,186434,815108053,28550
80,276260,446362330169,668103,937170,5136132105839,2266303
85,285844,478702573132,691883,969737,5508259118973,2346968
90,464847,680945598271,825194,1576892,7835174472393,2799138
95,712721,1017686857992,1008804,2417726,11710196129870,3422016
100,9991573,112276222,10596,33893566,1277789072,35746
