Load,Avg. NS,Avg. Ticks
0,67913,162636
5,67557,161779
10,67156,160811
15,67210,160947
20,67283,161067
25,67274,161115
30,67183,160894
35,66965,160367
40,67190,160924
45,129631,310304
50,67088,160652
55,67211,160950
60,65154,155989
65,616692,1476469
70,91547,219170
75,103830,248604
80,503264,1204941
85,64397,154211
90,459694,1100607
95,808640,1936017
100,10791651,25837195
