Load,Avg. NS,NS Variance,NS SD,Avg. Ticks,Ticks Variance,Ticks SD
0,54247,27531953,5247,184070,327269937,18090
5,52272,217324,466,177381,3377636,1837
10,56158,92727180,9629,190511,1079610652,32857
15,52302,218366,467,177475,3603140,1898
20,52580,450933,671,178418,6651592,2579
25,54038,26986672,5194,183357,320134220,17892
30,52579,254178,504,178447,4498883,2121
35,55656,100746473,10037,188825,1172076568,34235
40,277321,456709982025,675803,940828,5254584896131,2292288
45,55572,89217273,9445,188539,1042209321,32283
50,55253,85771875,9261,187453,999711423,31618
55,55403,91271662,9553,187988,1064368181,32624
60,55540,86891511,9321,188448,1018972951,31921
65,52377,269325,518,177767,4520264,2126
70,52096,184952406,13599,176907,2154409052,46415
75,56379,72369070,8507,191393,845798589,29082
80,52768,189479,435,179162,2591484,1609
85,289127,494582618484,703265,981006,5690920504906,2385565
90,52992,24737,157,180038,635946,797
95,52776,138017,371,179228,1627871,1275
100,6995751,76845706,8766,23731221,869987581,29495
