Load,Avg. NS,Avg. Ticks
0,57179,136975
5,57184,137000
10,57311,137238
15,57450,137564
20,57276,137193
25,57746,138256
30,56182,134549
35,57510,137997
40,57209,137047
45,57394,137424
50,57458,137614
55,56356,135006
60,116321,278525
65,55712,133411
70,540987,1295241
75,55063,131837
80,54690,130950
85,54219,129840
90,408128,977145
95,1085335,2598474
100,5993878,14350426
