Load,Avg. NS,Avg. Ticks
0,57277,137327
5,57603,138056
10,57179,137013
15,763577,1828128
20,57361,137363
25,366435,877313
30,57326,137271
35,57214,137039
40,57141,136847
45,53619,128397
50,57788,138354
55,309514,741069
60,55903,133897
65,515790,1234930
70,55866,133820
75,107153,256579
80,54478,130467
85,54005,129340
90,451666,1081374
95,808503,1935686
100,11993583,28714840
