Load,Avg. NS,Avg. Ticks
0,57561,137930
5,57250,137122
10,57337,137326
15,57183,136960
20,57391,137412
25,57107,136771
30,57186,136974
35,55038,131853
40,57161,136911
45,72708,174107
50,56374,135039
55,56202,134611
60,55468,132877
65,55635,133217
70,55480,132867
75,510390,1221973
80,54483,130453
85,54504,130552
90,446389,1068765
95,800928,1917545
100,11992600,28712524
