Load,Avg. NS,Avg. Ticks
0,57188,136972
5,57282,137180
10,57513,137770
15,54361,130196
20,56974,136460
25,57311,137274
30,57113,136794
35,57317,137222
40,57117,136808
45,57276,137175
50,57182,136940
55,55822,133579
60,55823,133565
65,55847,133723
70,54408,130238
75,54108,129514
80,54156,129618
85,53967,129124
90,53470,127978
95,53504,128064
100,52373,125359
