Load,Avg. NS,Avg. Ticks
0,57327,137309
5,57207,137028
10,57196,136973
15,57526,137765
20,57384,137406
25,56414,134967
30,57251,137122
35,53278,127500
40,57181,136926
45,53320,127620
50,54579,130627
55,57120,136806
60,54484,130390
65,56011,134030
70,54381,130176
75,54343,130019
80,54016,129294
85,54176,129716
90,53657,128406
95,53348,127675
100,52429,125485
