Load,Avg. NS,Avg. Ticks
0,57295,137166
5,57215,137034
10,54907,131663
15,57297,137200
20,57373,137468
25,57061,136635
30,57138,136916
35,56483,135096
40,55673,133380
45,56905,136370
50,56335,134880
55,55470,132882
60,56450,135078
65,55754,133614
70,55058,131738
75,54099,129570
80,53882,128951
85,53640,128352
90,53545,128147
95,52980,126750
100,52356,125330
