Load,Avg. NS,Avg. Ticks
0,57361,137355
5,57264,137317
10,57148,136840
15,57155,136881
20,57102,136774
25,57344,137336
30,55665,133384
35,55146,132107
40,57317,137263
45,531696,1273040
50,57004,136522
55,312364,747881
60,379122,907746
65,54511,130593
70,55281,132401
75,54955,131627
80,467034,1118197
85,54200,129770
90,455910,1091541
95,1090031,2609707
100,10791461,25836732
