Load,Avg. NS,Avg. Ticks
0,54619,130862
5,57411,137457
10,57920,138662
15,57312,137246
20,57209,136998
25,58070,138868
30,57225,137040
35,57181,136916
40,57600,137942
45,57132,136819
50,57454,137564
55,56388,134958
60,59113,141526
65,57253,137055
70,54320,129960
75,54510,130497
80,53822,128808
85,54534,130559
90,54933,131529
95,53270,127501
100,52331,125265
